FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Maya,Lopez,m19lope,89,86,83,78,85,70,86,79,76,95,81,85,83,87,88,76,94,76,81,90,100,100,100
Riley,Gomez,r23gome,62,68,63,56,63,66,70,69,56,58,74,79,71,74,70,69,66,50,73,71,75,45,39
Miles,Gomez,m27gome,82,91,90,93,36,77,80,91,81,89,86,88,91,77,83,78,75,85,82,93,86,68,56
Evan,Zimmerman,e14zimm,97,80,90,86,93,88,71,86,83,90,87,75,88,85,86,81,93,91,86,45,100,75,72
Parker,Martin,p9marti,81,65,65,49,77,75,77,61,68,76,64,84,61,72,68,63,73,65,99,56,49,65,71
Zane,Collins,z8col,96,95,100,92,100,85,100,86,92,93,100,87,100,57,96,98,91,100,100,86,78,98,100
Valeria,Flores,v26flo,69,82,88,65,84,42,69,68,71,77,61,92,42,76,55,58,61,46,57,71,49,65,50
Miles,Rivera,m7riv,77,43,85,92,94,77,59,78,81,76,78,94,74,78,86,94,59,90,71,79,62,84,79
Valeria,Zimmerman,v4zimme,61,66,49,43,80,65,79,62,65,72,81,54,71,62,65,77,75,60,65,59,73,54,23
Nolan,Phillips,n16phill,68,35,72,72,74,62,80,52,79,84,63,72,54,71,74,49,62,32,41,80,45,52,41
Zane,Flores,z17flor,96,100,85,93,100,100,83,98,100,98,97,96,85,96,100,93,94,92,96,84,77,100,96
Fatima,Gonzalez,f19gonza,58,61,64,73,54,60,63,75,65,85,69,54,43,74,77,66,55,55,61,69,53,61,57
Miles,Shah,m25shah,88,80,80,81,84,98,79,48,83,77,89,95,79,86,87,88,78,88,89,90,98,83,84
Fatima,Martin,f12mart,65,85,82,83,92,79,82,79,67,93,90,80,79,86,78,83,78,61,74,89,61,65,77
Jada,James,j12james,84,69,34,52,59,59,69,70,53,73,54,44,59,57,63,30,63,85,60,34,63,67,65
Nina,Morgan,n20morga,73,51,47,66,41,64,84,76,70,76,59,78,68,67,55,43,80,51,73,54,32,71,49
Gavin,Rivera,g25rive,88,86,90,92,89,87,100,93,87,100,84,97,83,82,100,82,79,96,93,74,79,85,94
Uma,Rivera,u19river,53,44,58,66,57,60,49,58,51,54,61,45,42,32,46,27,57,55,69,56,46,42,66
Priya,Nelson,p9nelso,46,72,84,85,73,72,95,84,79,76,83,88,93,83,73,84,88,46,82,65,74,56,89
Nina,Nelson,n1nelso,31,39,96,2,54,56,38,67,65,22,82,51,54,79,51,37,23,51,53,63,79,0,50
Camila,Phillips,c10phi,81,71,70,69,84,73,89,72,87,70,68,76,72,49,70,67,65,53,78,73,83,88,59
Kevin,Price,k29price,34,38,36,63,34,42,49,36,70,52,44,44,55,70,46,63,33,53,12,36,9,64,36
Elena,Mitchell,e18mitc,88,94,92,98,83,89,95,99,100,89,97,95,90,97,96,85,100,98,100,100,80,90,100
Maya,Roberts,m11rober,66,73,94,100,78,78,79,86,52,68,78,57,65,95,76,76,79,98,62,76,83,44,45
Parker,Morgan,p11morg,93,78,81,86,97,94,81,65,90,91,92,80,77,88,88,93,87,100,69,84,90,67,74
