FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Zara,Wright,z3wri,90,89,88,70,90,77,78,84,83,87,64,76,95,75,70,91,79,73,85,99,67,77,60
Owen,Gonzalez,o19gon,89,95,85,91,97,92,98,93,90,100,100,99,100,94,88,100,100,86,92,94,91,96,91
Felix,Watson,f6watso,96,89,98,86,85,89,90,99,92,98,83,96,88,92,93,88,87,100,100,95,82,98,100
Evan,Cooper,e13coope,83,84,82,81,84,93,79,80,71,80,92,87,90,82,85,84,88,91,75,79,80,95,81
Adrian,Collins,a26col,78,70,68,75,82,80,88,98,72,77,79,73,69,70,91,74,75,72,72,88,74,71,46
Gabriela,Singh,g25sin,92,93,79,94,83,84,91,78,86,81,70,73,90,89,79,91,76,88,93,85,88,78,78
Ian,Sanchez,i3san,31,47,55,39,49,37,75,39,58,46,74,74,44,36,53,44,60,72,25,15,60,11,32
Gabriela,Rivera,g4river,97,90,92,93,98,97,99,94,92,94,95,97,92,92,90,89,100,97,81,100,100,85,92
Zane,Hughes,z12hugh,87,82,88,91,78,87,90,96,70,77,93,94,77,79,97,77,91,86,89,67,93,100,91
Brianna,Mitchell,b13mit,82,93,89,83,87,85,77,76,81,98,92,88,93,90,89,95,86,97,88,79,82,100,100
Elena,Green,e22gre,98,89,97,92,90,98,86,86,88,97,97,100,90,90,94,82,100,98,99,93,88,100,89
Hannah,Shah,h10sha,76,83,85,80,85,100,80,64,66,78,74,63,74,87,79,71,55,73,72,73,55,80,44
Riley,Jackson,r28jack,94,85,100,96,89,94,96,100,88,93,84,90,94,97,90,93,95,86,100,95,91,93,86
Leo,Green,l15gre,82,74,70,82,86,79,75,77,91,81,81,86,82,75,73,46,66,68,69,88,41,63,65
Quinn,Nelson,q7nelso,73,74,75,82,72,71,92,79,60,69,68,82,68,67,83,75,73,85,92,25,67,58,69
Parker,Campbell,p21cam,64,87,49,71,63,70,74,56,64,62,73,62,70,47,72,74,66,83,71,72,41,83,18
Wesley,Jackson,w19jac,72,67,55,54,66,38,56,69,55,49,77,39,50,68,49,79,54,57,78,69,72,18,59
Rafael,Roberts,r16robe,87,96,97,92,92,90,93,83,84,89,100,89,96,97,97,96,100,82,97,89,86,89,91
Ian,Bennett,i26benn,81,74,79,86,84,71,76,70,74,73,74,67,72,87,86,82,71,91,77,62,34,85,50
Jada,Flores,j14flore,75,76,73,74,69,87,81,85,84,81,74,92,72,86,92,71,77,65,91,73,66,58,14
Priya,Bennett,p29benn,64,71,75,76,100,73,68,96,75,80,89,66,94,81,49,83,66,76,64,80,59,62,68
Elena,Henderson,e25hend,85,89,100,88,82,96,78,93,93,79,80,87,95,85,95,98,82,85,85,80,100,85,81
Valeria,Roberts,v17robe,80,87,78,69,87,90,74,73,100,81,89,85,83,77,72,54,70,90,95,81,62,92,81
Xavier,Nelson,x22nel,66,43,62,84,85,76,89,73,73,70,65,87,80,41,64,75,71,75,67,89,70,11,48
Fatima,Gray,f29gray,88,89,79,76,90,100,87,80,92,71,80,82,93,76,84,87,78,85,89,59,66,95,57
