FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Sara,Price,s25pric,64,84,79,83,71,58,78,88,81,64,66,80,63,47,68,54,56,64,83,72,83,48,77
Miles,Gray,m25gray,75,69,56,82,71,52,84,12,68,66,59,70,64,70,64,63,72,84,71,75,50,70,51
Quinn,Turner,q17tur,58,86,74,64,46,91,62,78,78,65,65,53,79,50,75,74,65,20,63,61,73,61,66
Miles,Nelson,m7nelso,79,83,79,71,64,69,89,69,85,66,85,96,64,78,85,61,75,64,60,77,69,74,60
Owen,Cook,o1cook,69,81,82,83,72,86,75,74,81,80,80,68,79,94,64,78,85,89,71,72,81,76,39
Nolan,Kelly,n9kell,73,85,86,88,91,79,88,93,93,84,95,85,80,91,93,84,74,76,61,82,76,72,72
Rafael,Price,r28pric,89,100,92,99,95,100,98,92,90,100,88,99,95,89,99,100,84,91,94,95,64,98,92
Caleb,Mitchell,c4mitch,70,62,71,76,77,81,68,29,72,79,86,76,72,81,77,83,66,68,74,70,50,74,31
Priya,Campbell,p26cam,67,83,74,89,84,79,76,86,78,91,45,78,71,79,63,71,66,80,63,76,76,79,59
Rafael,Hughes,r28hughe,71,93,81,70,91,92,92,85,92,92,83,81,94,78,92,100,80,45,100,84,84,100,68
Nolan,Henderson,n19hend,78,73,86,94,89,90,87,90,82,98,91,88,97,88,87,99,79,78,95,100,55,89,84
Ian,Rogers,i4rog,75,70,77,77,79,88,89,79,69,80,70,89,43,88,86,62,90,79,69,68,91,57,63
Adrian,Cox,a3cox,75,92,94,93,84,50,87,76,97,89,87,88,77,90,80,89,82,90,96,71,74,78,80
Ximena,Lopez,x7lopez,100,94,88,87,76,91,89,96,95,85,96,86,94,86,81,81,86,100,90,73,86,95,83
Evan,Edwards,e22edw,77,69,75,64,73,75,72,92,61,78,63,64,68,73,57,62,63,30,91,66,65,54,64
Camila,Diaz,c2diaz,93,89,98,86,92,90,95,91,100,70,97,100,100,94,96,100,82,93,100,53,95,100,81
Priya,Wright,p15wrigh,99,100,84,99,58,87,90,98,90,85,91,100,100,94,97,97,100,91,83,90,95,91,100
Caleb,Miller,c22mille,78,84,78,83,92,71,84,73,76,68,40,87,80,76,75,62,90,55,77,77,82,86,35
Zane,Perry,z25perr,94,92,95,96,86,97,91,99,97,98,89,98,89,95,95,93,97,86,95,95,92,90,86
Riley,Singh,r13sin,70,69,73,94,76,71,70,82,74,59,59,68,74,84,100,65,89,53,73,68,85,70,58
Elena,Russell,e24rus,97,79,68,63,67,82,70,75,96,89,76,70,75,85,69,61,77,86,78,68,72,93,69
Jada,Jackson,j19jacks,72,83,88,93,84,88,92,83,90,72,91,94,82,74,81,81,75,75,80,83,73,63,44
Hugo,Kelly,h29kel,91,98,97,84,97,99,89,84,87,97,100,93,96,94,91,97,100,85,92,94,92,100,97
Sara,Henderson,s11hende,76,73,50,79,48,66,68,74,67,63,64,69,48,91,78,51,68,66,54,72,58,63,53
Uma,Jackson,u11jac,56,54,54,68,47,35,23,43,58,22,48,64,44,32,84,64,63,82,19,48,69,75,21
